,,,,,,,,
,,,,,Menu de Formatos - Link Tree,,,
,,,,,,,,
,,,,,RECEBA AS ATUALIZAÇÕES ANTES  📩,,,
,,,,,,,,
,,,,,RESPEITE O CARNAVAL DE TODOS 🎺,,,
,,,,,,,,
,,,,,COMPRE AS CAMISAS DOS BLOCOS 👕,,,
,,,,,,,,
,,,,,ANUNCIE NA PLANILHA 📢,,,
*Quer incluir seu bloco? Fala com a gente por @mateuskeiroz ou @_sal,,,,,,,,
Dia Semana,Data,Tem festa?,Concentração,Saída,Cidade,BLOCO / TROÇA,LOCAL,Confirmado?
SÁBADO,14/02,FALSE,14:00,14:00,Olinda,Maracadonna,Praça do Jacaré,TRUE
SÁBADO,14/02,FALSE,14:00,14:50,Olinda,Chapadinhos na Praia,Alto da Sé,TRUE
SÁBADO,14/02,TRUE,12:00,16:00,Olinda,Ceroula de Olinda,Colégio Sao Bento,TRUE
SÁBADO,14/02,FALSE,16:00,16:00,Olinda,Hoje a Mangueira Entra,"Rua Coronel Joaquim Cavalcanti, 487",TRUE
SÁBADO,14/02,FALSE,15:00,16:00,Recife,Cordas e Retalhos,"Rua da Guia, 86",TRUE
SÁBADO,14/02,FALSE,14:00,15:00,Olinda,Afojubá Batuque,Mosteiro São Bento,TRUE
SÁBADO,14/02,FALSE,16:00,17:00,Olinda,Menino da Tarde,Largo do Guadalupe,TRUE
SÁBADO,14/02,TRUE,10:00,17:00,Olinda,Papudinhos do Bonsucesso,Espaço Cultural Osvaldo Sérgio,TRUE
SÁBADO,14/02,FALSE,18:00,18:00,Olinda,Burra do Rosário,Guadalupe - Sede da Burra,TRUE
SÁBADO,14/02,FALSE,18:00,19:00,Olinda,Afoxé Alafin Oyó,Largo do Guadalupe,TRUE
SÁBADO,14/02,FALSE,18:00,19:00,Olinda,John Travolta,Vassourinhas de Olinda - Largo do Amparo,TRUE
SÁBADO,14/02,FALSE,23:00,0:00,Olinda,Homem da Meia Noite,Estrada do Bom Sucesso - Sede do Homem,TRUE
DOMINGO,15/02,FALSE,3:00,4:00,Olinda,Cariri,Clube Cariri,TRUE
DOMINGO,15/02,FALSE,8:00,8:00,Olinda,Mucha Lucha,Alto da Sé,TRUE
DOMINGO,15/02,FALSE,9:00,9:00,Olinda,D'Breck,Largo do Bonfim,TRUE
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,A Rede,Largo do Guadalupe,TRUE
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,Batadoní,Praça do Carmo,FALSE
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,Birita de Olinda,Rua do Amparo 110,TRUE
DOMINGO,15/02,FALSE,8:00,9:00,Olinda,Batuques de Pernambuco,Praça do Carmo,TRUE
DOMINGO,15/02,FALSE,8:00,10:00,Olinda,Filhas de Betha,Largo do Amparo,TRUE
